text,domain
college is holding my certificates,institutional_misconduct
i am abused for my caste,discrimination_hate
someone created fake account,cyber_crime
i was touched by senior,sexual_offence
seniors forcing humiliating acts,ragging
senior punched me,physical_violence
harassed by seniors,ragging
something wrong happening,mixed_or_unclear
money extorted,financial_exploitation
forced into inappropriate contact,sexual_offence
forced to pay seniors,financial_exploitation
harassed by seniors,ragging
financial harassment,financial_exploitation
warned not to complain,threat_intimidation
forced to consume drugs,substance_abuse
held against will,kidnapping_confinement
administration harassment,institutional_misconduct
drug use forced,substance_abuse
college holding certificates,institutional_misconduct
being stalked online,stalking
forced to stay inside,kidnapping_confinement
senior punched me,physical_violence
fake complaints filed,defamation
abused for my caste,discrimination_hate
tc not given,institutional_misconduct
emotionally tortured,mental_harassment
threatened by classmates,threat_intimidation
fake complaints filed,defamation
many problems in college,mixed_or_unclear
senior is threatening me,threat_intimidation
forced humiliating acts,ragging
threatened by classmates,threat_intimidation
senior is threatening me,threat_intimidation
someone following me,stalking
psychological abuse,mental_harassment
someone touched me without consent,sexual_offence
verbal and physical ragging,ragging
senior is threatening me,threat_intimidation
harassed by seniors,ragging
held against will,kidnapping_confinement
forced to clean rooms,ragging
threatened by classmates,threat_intimidation
stalker in hostel,stalking
racist remarks in class,discrimination_hate
constant mental harassment,mental_harassment
forced into inappropriate contact,sexual_offence
something wrong happening,mixed_or_unclear
senior is threatening me,threat_intimidation
i was slapped by a senior,physical_violence
forced to consume drugs,substance_abuse
teacher made sexual comments,sexual_offence
someone following me,stalking
forced to pay seniors,financial_exploitation
pressured to smoke,substance_abuse
illegal substances pushed,substance_abuse
character assassination,defamation
false rumors spread,defamation
online harassment,cyber_crime
abused for my caste,discrimination_hate
dont know what to do,mixed_or_unclear
false allegations online,defamation
verbal and physical ragging,ragging
teacher made sexual comments,sexual_offence
verbal abuse daily,mental_harassment
harassed by seniors,ragging
forced to pay seniors,financial_exploitation
constant mental harassment,mental_harassment
someone attacked me in hostel,physical_violence
verbal abuse daily,mental_harassment
prevented from leaving,kidnapping_confinement
someone following me,stalking
received sexual messages,sexual_offence
financial harassment,financial_exploitation
forced to consume drugs,substance_abuse
emotionally tortured,mental_harassment
money extorted,financial_exploitation
threatened by classmates,threat_intimidation
constant mental harassment,mental_harassment
online harassment,cyber_crime
fake instagram account created,cyber_crime
assaulted by students,physical_violence
forced to clean rooms,ragging
constant messages from person,stalking
money demanded under threat,financial_exploitation
racist remarks in class,discrimination_hate
documents withheld,institutional_misconduct
someone attacked me in hostel,physical_violence
something wrong happening,mixed_or_unclear
constant messages from person,stalking
forced humiliating acts,ragging
racist remarks in class,discrimination_hate
fake complaints filed,defamation
forced humiliating acts,ragging
held against will,kidnapping_confinement
photos shared without consent,cyber_crime
senior punched me,physical_violence
received death threats,threat_intimidation
online harassment,cyber_crime
assaulted by students,physical_violence
forced to clean rooms,ragging
teacher made sexual comments,sexual_offence
dont know what to do,mixed_or_unclear
many problems in college,mixed_or_unclear
someone touched me without consent,sexual_offence
forced to drink alcohol,substance_abuse
photos shared without consent,cyber_crime
forced to sign bond,institutional_misconduct
false rumors spread,defamation
fake instagram account created,cyber_crime
senior tried to molest me,sexual_offence
threatened by classmates,threat_intimidation
harassed for religion,discrimination_hate
i was beaten by classmates,physical_violence
forced to clean rooms,ragging
warned not to complain,threat_intimidation
fake instagram account created,cyber_crime
forced to sign bond,institutional_misconduct
senior tried to molest me,sexual_offence
false allegations online,defamation
excluded due to caste,discrimination_hate
constant mental harassment,mental_harassment
college holding certificates,institutional_misconduct
something wrong happening,mixed_or_unclear
held against will,kidnapping_confinement
religious discrimination,discrimination_hate
prevented from leaving,kidnapping_confinement
someone touched me without consent,sexual_offence
dont know what to do,mixed_or_unclear
constant messages from person,stalking
constant mental harassment,mental_harassment
stalker in hostel,stalking
forced to clean rooms,ragging
verbal abuse daily,mental_harassment
mental pressure from teachers,mental_harassment
forced humiliating acts,ragging
someone attacked me in hostel,physical_violence
assaulted by students,physical_violence
threats on whatsapp,cyber_crime
harassed by seniors,ragging
college environment is bad,mixed_or_unclear
